,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
73,659_sleuth_ex1714,47,7,0,Magpie,50,15,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,92.04183983802795,0.9253558953938922,0.789050868547162,44,3,4,((33.3165 + X[5]) * (280.6492 + ((-0.0363 * (X[4] - (exp((X[1] - -1.2952)) / (exp(abs(X[4])) * X[4])))) * X[1])))
74,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,150.84474539756775,0.9064721566515802,0.950511024709346,38,2,3,(6649.6064 + (abs(((1083.0884 + exp((X[5] + -10.1628))) * log((log(X[0]) / abs(X[0]))))) * log(X[5])))
75,659_sleuth_ex1714,47,7,2,Magpie,50,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,182.7019081115723,0.906001832698572,0.733156559022456,44,5,5,((510.5844 * abs((abs(log(X[4])) + -23.1296))) - (X[2] / (0.9849 / (((X[3] - X[0]) - -15.2339) + (-10.0789 * X[5])))))
76,659_sleuth_ex1714,47,7,0,Magpie,30,15,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,124.6593418121338,0.8655816423282876,0.6613993223317094,30,2,3,(abs(log(abs(((-663.3452 / (abs(abs(-17.6308)) - X[5])) + X[1])))) * abs(-2744.4840))
77,659_sleuth_ex1714,47,7,0,Magpie,30,15,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,121.99367713928224,0.8459476980693538,0.8632016007111585,24,2,3,(((108678148.1245 + exp(X[5])) * (0.0000 * X[5])) + (X[0] + 7356.5772))
78,659_sleuth_ex1714,47,7,2,Magpie,50,8,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,158.27549839019775,0.5556892938098288,0.3961732940290292,8,1,1,(sqrt(X[5]) * 4179.6088)
79,659_sleuth_ex1714,47,7,2,Magpie,50,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,182.2625148296356,0.5556892939591552,0.3961732936659555,8,1,1,(sqrt(X[5]) * 4179.6088)
80,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,178.8255317211151,0.9151056630108628,0.6638318740011511,42,3,4,(((((X[5] / X[0]) / (exp(X[5]) + -3643725.8162)) * X[5]) * 2593515857.5968) + ((741.4121 - X[1]) * (abs(X[5]) + 9.8164)))
81,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,183.8287215232849,0.90107330759465,0.8427518476753076,40,4,5,(((abs((X[0] / (X[2] + -76.4019))) - -21.1955) * 1018.9310) + ((-166.7768 - X[1]) / (-0.0006 * (-21.1955 - X[5]))))
82,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,158.1315484046936,0.8838476358891869,0.8318175222144568,26,3,4,(-1.6037 * (((34266.7991 / (X[5] - 21.8915)) + -4772.6036) + (X[4] * X[1])))
83,659_sleuth_ex1714,47,7,2,Magpie,50,15,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,137.54873037338257,0.9088267411909812,0.8552560960265967,34,2,4,((X[5] * (32.1156 * abs((34.7298 - (X[5] * ((abs(32.1156) / X[0]) - -0.5920)))))) + 6432.8454)
84,659_sleuth_ex1714,47,7,1,Magpie,50,15,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,145.17154788970947,0.9007989371596308,0.8347795765594733,48,4,4,(((((abs((-27.9000 + X[3])) + (((151.8697 * X[5]) + sqrt(exp(X[5]))) / -27.9000)) + (-367.3070 - X[0])) + X[4]) / -0.0348) + X[4])
